Category,Description / What to Evaluate,Azure Entra External ID,Auth0,Clerk,Firebase Auth
Free Tier MAU (Confirmed),Monthly active users included for free,50000 MAU,25000 MAU,50000 MAU,10000 MAU
Base Cost / Month,Minimum monthly cost excluding overages,Free (up to 50k MAU),Free (up to 25k MAU),Free (up to 50k MAU),Free (up to 10k MAU)
Cost per MAU after Free Tier,Incremental cost per user beyond free tier,~$0.0035 per MAU,~$0.0235 per MAU,~$0.02 per MAU,~$0.0055 per MAU
Estimated Monthly Cost @ 100k MAU,Projected cost at scale,~$175/month,~$1762.50/month,~$1000/month,~$495/month
Social Providers,Supported social login providers,"Microsoft, Google, Facebook, LinkedIn, GitHub, Apple, Twitter, Amazon","Google, Facebook, LinkedIn, GitHub, Apple, Twitter, Discord, Twitch, Spotify, Amazon","Google, Facebook, LinkedIn, GitHub, Apple, Twitter, Discord, Twitch, Spotify, Amazon","Google, Facebook, LinkedIn, GitHub, Apple, Twitter, Discord, Twitch, Spotify"
Migration from Azure,Ease of migrating existing Azure users,Seamless (native),Moderate (requires mapping),Moderate (requires mapping),Difficult (different architecture)
Migration Tools,Built-in tools for user import or migration,"Azure AD Connect, Bulk Import API, User Import Extension, Migration Scripts","User Import Extension, Bulk Import API, Migration Scripts","User Import API, Bulk Import, Migration Scripts","User Import API, Bulk Import, Migration Scripts"
Migration Difficulty,Overall effort and risk of migration,Low (native),Moderate,Moderate,High
Unity Integration,Quality and ease of Unity SDK / OIDC support,Good (OIDC/OAuth2),Moderate (OIDC/OAuth2),Good (OIDC/OAuth2),Excellent (Native SDK)
Setup Complexity,Initial setup effort and configuration complexity,Moderate to High,Moderate,Low to Moderate,Low
Documentation Quality,Clarity and completeness of documentation,Good (Microsoft docs),Excellent,Excellent,Excellent
Support Level,Community and paid support availability,Enterprise support,Community + Paid tiers,Community + Paid tiers,Community + Paid support
Ability to Switch Providers Without Losing Accounts,Provider-agnostic identity support,Yes (OIDC standard),Yes (OIDC standard),Yes (OIDC standard),Limited (vendor-specific)
Ease of Switching Providers,Practical effort to migrate away later,Moderate,Moderate,Moderate,Difficult
UI Customization (HTML / Full Control),Ability to fully customize auth UI,Limited (branding only),Full control,Full control,Full control
Invite-Only / Gated Access Support,Support for invite-only flows,Yes (via B2B),Yes (via Rules/Actions),Yes (via Allowlist),Yes (via Custom Claims)
Overall Fit for DreamForge,Holistic assessment for DreamForge use case,Good for Azure-native,Excellent for flexibility,Excellent for DX,Good for rapid prototyping

